,Код продукта,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки
0,PMF-97553,"Primaforce, Порошок D-аспарагиновой кислоты, без добавок, 300 г (10,6 унции)",Primaforce,10.2026,300,г,0.38,3 622 ₽,Аминокислоты,14.7,9.3,9.1
1,NCS-81220,"Nutricost, D-аспарагиновая кислота, без вкусовых добавок, 300 г (10,6 унции)",Nutricost,11.2025,300,г,0.39,3 346 ₽,Аминокислоты,14.9,9.3,9.3
2,BLB-01264,"Bluebonnet Nutrition, Nucleotide Complex, РНК / ДНК, 60 растительных капсул",Bluebonnet Nutrition,08.2026,60,шт.,0.22,7 653 ₽,Аминокислоты,11.2,6.1,6.1
3,SWV-02479,"Swanson, L-гистидин, 500 мг, 60 растительных капсул",Swanson,05.2025,60,шт.,0.07,2 362 ₽,Аминокислоты,8.8,4.6,4.6
4,ALG-73230,"Allergy Research Group, Триметилглицин ТМГ, 100 растительных капсул",Allergy Research Group,07.2025,100,шт.,0.11,4 502 ₽,Аминокислоты,6.1,6.1,11.2
5,SOL-01011,"Solgar, DLPA, в свободной форме, 500 мг, 100 растительных капсул",Solgar,12.2026,100,шт.,0.28,3 669 ₽,Аминокислоты,6.4,6.4,11.7
6,NCS-00816,"Nutricost, D-аспарагиновая кислота, без вкусовых добавок, 500 г (1,1 фунта)",Nutricost,10.2026,504,г,0.66,4 447 ₽,Аминокислоты,18,12.6,12.6
7,NCS-67613,"Nutricost, Performance, D-аспарагиновая кислота, 2000 мг, 180 капсул (500 мг в 1 капсуле)",Nutricost,10.2025,180,шт.,0.16,2 437 ₽,Аминокислоты,13.5,7.1,7.1
8,KIM-02008,"Kirkman Labs, ДМГ (диметилглицин), 125 мг, 250 капсул",Kirkman Labs,04.2025,250,шт.,0.14,9 800 ₽,Аминокислоты,13,6.5,6.5
9,KIM-02007,"Kirkman Labs, ДМГ (Диметилглицин), 125 мг, 100 капсул",Kirkman Labs,04.2025,100,шт.,0.07,6 057 ₽,Аминокислоты,5.3,5.3,9.7
10,NCS-93411,"Nutricost, d-аспарагиновая кислота, 3000 мг, 180 капсул (750 мг в 1 капсуле)",Nutricost,09.2026,180,шт.,0.2,2 756 ₽,Аминокислоты,13.5,7.1,7.1
11,AMX-20211,"ALLMAX, D-аспарагиновая кислота, 100 г",ALLMAX,02.2025,100,г,0.16,2 915 ₽,Аминокислоты,6.4,6.4,12.7
12,DVI-01111,"DaVinci Laboratories of Vermont, Aller-DMG`` 60 таблеток",DaVinci Laboratories of Vermont,03.2025,60,шт.,0.11,7 608 ₽,Аминокислоты,9.7,5.2,5.1
13,MTB-50090,"Metabolic Nutrition, Amino 4500, добавка с аминокислотами 1500 мг, 90 таблеток",Metabolic Nutrition,07.2026,90,шт.,0.18,3 489 ₽,Аминокислоты,12.8,6.4,6.4
14,ZAH-08093,"Zahler, Advanced DMG, Dimethylglycine, 500 mg, 90 Chewable Tablets",Zahler,12.2025,90,шт.,0.13,6 923 ₽,Аминокислоты,11.8,9,7.2
15,DVI-23029,"DaVinci Laboratories of Vermont, Amino 21, 750 мг, 90 капсул",DaVinci Laboratories of Vermont,08.2025,90,шт.,0.11,5 678 ₽,Аминокислоты,11.8,6.4,6.2
16,DVI-25922,"DaVinci Laboratories of Vermont, Глюконик DMG, жидкий, 300 мг, 60 мл (2 жидк. Унции)",DaVinci Laboratories of Vermont,11.2025,59,мл,0.14,8 435 ₽,Аминокислоты,11,5.3,3.9
17,NOW-00472,"NOW Foods, ДМГ, 125 мг, 100 вегетарианских капсул",NOW Foods,08.2028,100,шт.,0.08,1 793 ₽,Аминокислоты,10.7,5.1,5.1
18,LEX-24313,"Life Extension, Essential Youth L-эрготионеин, 5 мг, 30 вегетарианских капсул",Life Extension,09.2025,30,шт.,0.03,3 422 ₽,Аминокислоты,8.6,4.3,4.3
19,CLF-01368,"Country Life, DLPA (DL-фенилаланин) в капсулах, 1000 мг, 60 веганских капсул",Country Life,02.2026,60,шт.,0.24,5 270 ₽,Аминокислоты,11.2,6.1,6
20,NRB-21940,"NutraBio, Amino Kick, аминокислота с гибискусом и клубникой, 269 г (0,59 фунта)",NutraBio,05.2025,269,г,0.34,4 125 ₽,Аминокислоты,14.9,9.3,9.1
21,NOW-00121,"NOW Foods, L-гистидин, 600 мг, 60 растительных капсул",NOW Foods,09.2025,60,шт.,0.1,3 085 ₽,Аминокислоты,11,5.7,5.8
22,MRM-71028,"MRM Nutrition, Nutrition, BCAA и G 6000, 150 капсул",MRM Nutrition,11.2026,150,шт.,0.25,3 974 ₽,Аминокислоты,7.9,7.9,13
