,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
0,"Primaforce, Порошок D-аспарагиновой кислоты, без добавок, 300 г (10,6 унции)",Primaforce,2026-10-01,300,г,0.38,3622,Аминокислоты,14.7,9.3,9.1,порошок аспарагиновый кислота добавка,1
1,"Nutricost, D-аспарагиновая кислота, без вкусовых добавок, 300 г (10,6 унции)",Nutricost,2025-11-01,300,г,0.39,3346,Аминокислоты,14.9,9.3,9.3,аспарагиновый кислота вкусовой добавка,1
2,"Bluebonnet Nutrition, Nucleotide Complex, РНК / ДНК, 60 растительных капсул",Bluebonnet Nutrition,2026-08-01,60,шт.,0.22,7653,Аминокислоты,11.2,6.1,6.1,nucleotide complex рнк днк,1
3,"Swanson, L-гистидин, 500 мг, 60 растительных капсул",Swanson,2025-05-01,60,шт.,0.07,2362,Аминокислоты,8.8,4.6,4.6,гистидин,1
4,"Allergy Research Group, Триметилглицин ТМГ, 100 растительных капсул",Allergy Research Group,2025-07-01,100,шт.,0.11,4502,Аминокислоты,6.1,6.1,11.2,триметилглицин тмг,1
5,"Solgar, DLPA, в свободной форме, 500 мг, 100 растительных капсул",Solgar,2026-12-01,100,шт.,0.28,3669,Аминокислоты,6.4,6.4,11.7,dlpa свободный форма,1
6,"Nutricost, D-аспарагиновая кислота, без вкусовых добавок, 500 г (1,1 фунта)",Nutricost,2026-10-01,504,г,0.66,4447,Аминокислоты,18.0,12.6,12.6,аспарагиновый кислота вкусовой добавка,1
7,"Nutricost, Performance, D-аспарагиновая кислота, 2000 мг, 180 капсул (500 мг в 1 капсуле)",Nutricost,2025-10-01,180,шт.,0.16,2437,Аминокислоты,13.5,7.1,7.1,performance аспарагиновый кислота,1
8,"Kirkman Labs, ДМГ (диметилглицин), 125 мг, 250 капсул",Kirkman Labs,2025-04-01,250,шт.,0.14,9800,Аминокислоты,13.0,6.5,6.5,дмг диметилглицин,1
9,"Kirkman Labs, ДМГ (Диметилглицин), 125 мг, 100 капсул",Kirkman Labs,2025-04-01,100,шт.,0.07,6057,Аминокислоты,5.3,5.3,9.7,дмг диметилглицин,1
